序号,汉字,拼音,首次学期,年级,册,组词,网络核对,来源
1,天,tian,一上,1,上,天空、天气、白天,缺,本地识字表文件(部编版)
2,地,di,一上,1,上,大地、地方、土地,缺,本地识字表文件(部编版)
3,人,ren,一上,1,上,大人、人们、人人,缺,本地识字表文件(部编版)
4,你,ni,一上,1,上,你好、你们、你我,缺,本地识字表文件(部编版)
5,我,wo,一上,1,上,我们、我国、自我,缺,本地识字表文件(部编版)
6,他,ta,一上,1,上,他们、他人、他家,缺,本地识字表文件(部编版)
7,一,yi,一上,1,上,一个、一天、一家,缺,本地识字表文件(部编版)
8,二,er,一上,1,上,一二、二手、二月,缺,本地识字表文件(部编版)
9,三,san,一上,1,上,三天、三月、三国,缺,本地识字表文件(部编版)
10,四,si,一上,1,上,四大、四面、四海,缺,本地识字表文件(部编版)
11,五,wu,一上,1,上,五一、五色、五行,缺,本地识字表文件(部编版)
12,上,shang,一上,1,上,上学、上山、地上,缺,本地识字表文件(部编版)
13,下,xia,一上,1,上,下雨、下山、一下,缺,本地识字表文件(部编版)
14,口,kou,一上,1,上,大口、口水、人口,缺,本地识字表文件(部编版)
15,耳,er,一上,1,上,耳朵、耳机、耳语,缺,本地识字表文件(部编版)
16,目,mu,一上,1,上,节目、目光、心目,缺,本地识字表文件(部编版)
17,手,shou,一上,1,上,手心、动手、手机,缺,本地识字表文件(部编版)
18,足,zu,一上,1,上,足球、满足、手足,缺,本地识字表文件(部编版)
19,站,zhan,一上,1,上,车站、站点、站长、站台,缺,本地识字表文件(部编版)
20,坐,zuo,一上,1,上,坐下、坐车、请坐,缺,本地识字表文件(部编版)
21,日,ri,一上,1,上,生日、日子、日头,缺,本地识字表文件(部编版)
22,月,yue,一上,1,上,月亮、月光、一月,缺,本地识字表文件(部编版)
23,山,shan,一上,1,上,大山、山水、天山,缺,本地识字表文件(部编版)
24,川,chuan,一上,1,上,山川、平川、小川,缺,本地识字表文件(部编版)
25,水,shui,一上,1,上,水果、山水、水花,缺,本地识字表文件(部编版)
26,火,huo,一上,1,上,火山、火花、大火,缺,本地识字表文件(部编版)
27,田,tian,一上,1,上,田野、水田、田地,缺,本地识字表文件(部编版)
28,禾,he,一上,1,上,禾苗、禾草、禾谷,缺,本地识字表文件(部编版)
29,六,liu,一上,1,上,六月、六角、六神,缺,本地识字表文件(部编版)
30,七,qi,一上,1,上,七月、七星、七声,缺,本地识字表文件(部编版)
31,八,ba,一上,1,上,八月、八方、八成,缺,本地识字表文件(部编版)
32,九,jiu,一上,1,上,九月、九天、九州,缺,本地识字表文件(部编版)
33,十,shi,一上,1,上,十分、十一、十字,缺,本地识字表文件(部编版)
34,爸,ba,一上,1,上,爸爸、老爸、爸妈、阿爸,缺,本地识字表文件(部编版)
35,妈,ma,一上,1,上,妈妈、大妈、干妈,缺,本地识字表文件(部编版)
36,大,da,一上,1,上,大家、大人、大山,在,本地识字表文件(部编版)
37,马,ma,一上,1,上,小马、大马、天马,缺,本地识字表文件(部编版)
38,路,lu,一上,1,上,大路、山路、一路,缺,本地识字表文件(部编版)
39,土,tu,一上,1,上,土地、国土、水土,缺,本地识字表文件(部编版)
40,本,ben,一上,1,上,本子、本人、本地,缺,本地识字表文件(部编版)
41,学,xue,一上,1,上,学生、小学、大学,缺,本地识字表文件(部编版)
42,校,xiao,一上,1,上,学校、校长、校区,缺,本地识字表文件(部编版)
43,班,ban,一上,1,上,班级、班长、上班,缺,本地识字表文件(部编版)
44,级,ji,一上,1,上,年级、高级、一级,在,本地识字表文件(部编版)
45,姓,xing,一上,1,上,姓名、百姓、贵姓,缺,本地识字表文件(部编版)
46,名,ming,一上,1,上,名字、名人、大名,缺,本地识字表文件(部编版)
47,王,wang,一上,1,上,王子、国王、王国,缺,本地识字表文件(部编版)
48,哥,ge,一上,1,上,哥哥、大哥、小哥,缺,本地识字表文件(部编版)
49,弟,di,一上,1,上,弟弟、表弟、小弟,缺,本地识字表文件(部编版)
50,画,hua,一上,1,上,动画、画家、国画,缺,本地识字表文件(部编版)
51,花,hua,一上,1,上,花生、花儿、小花,缺,本地识字表文件(部编版)
52,打,da,一上,1,上,打球、打气、打水,缺,本地识字表文件(部编版)
53,棋,qi,一上,1,上,下棋、棋子、棋盘,缺,本地识字表文件(部编版)
54,积,ji,一上,1,上,积分、面积、体积,缺,本地识字表文件(部编版)
55,木,mu,一上,1,上,木头、木马、木工,缺,本地识字表文件(部编版)
56,字,zi,一上,1,上,写字、生字、文字,缺,本地识字表文件(部编版)
57,词,ci,一上,1,上,生词、动词、数词,缺,本地识字表文件(部编版)
58,句,ju,一上,1,上,句子、语句、名句,缺,本地识字表文件(部编版)
59,子,zi,一上,1,上,孩子、儿子、子女,缺,本地识字表文件(部编版)
60,桌,zhuo,一上,1,上,桌子、书桌、同桌、桌布,缺,本地识字表文件(部编版)
61,纸,zhi,一上,1,上,报纸、纸花、白纸,缺,本地识字表文件(部编版)
62,读,du,一上,1,上,读书、读物、朗读,在,本地识字表文件(部编版)
63,书,shu,一上,1,上,书本、图书、家书,缺,本地识字表文件(部编版)
64,鱼,yu,一上,1,上,金鱼、小鱼、海鱼,缺,本地识字表文件(部编版)
65,鸭,ya,一上,1,上,鸭子、黄鸭、野鸭,缺,本地识字表文件(部编版)
66,乌,wu,一上,1,上,乌云、乌黑、乌龙,缺,本地识字表文件(部编版)
67,鸦,ya,一上,1,上,乌鸦、涂鸦、寒鸦,缺,本地识字表文件(部编版)
68,午,wu,一上,1,上,中午、上午、下午,缺,本地识字表文件(部编版)
69,星,xing,一上,1,上,星星、海星、行星,缺,本地识字表文件(部编版)
70,期,qi,一上,1,上,学期、期中、长期,缺,本地识字表文件(部编版)
71,语,yu,一上,1,上,语文、口语、手语,缺,本地识字表文件(部编版)
72,文,wen,一上,1,上,中文、文学、天文,缺,本地识字表文件(部编版)
73,数,shu,一上,1,上,数学、数字、分数,缺,本地识字表文件(部编版)
74,写,xie,一上,1,上,写字、写作、手写,缺,本地识字表文件(部编版)
75,会,hui,一上,1,上,学会、大会、一会儿,缺,本地识字表文件(部编版)
76,白,bai,一上,1,上,白天、白云、白雪,缺,本地识字表文件(部编版)
77,菜,cai,一上,1,上,白菜、菜地、生菜,缺,本地识字表文件(部编版)
78,西,xi,一上,1,上,西瓜、西边、山西,缺,本地识字表文件(部编版)
79,瓜,gua,一上,1,上,西瓜、黄瓜、南瓜,缺,本地识字表文件(部编版)
80,果,guo,一上,1,上,水果、成果、果然,缺,本地识字表文件(部编版)
81,小,xiao,一上,1,上,小学、小心、小区,缺,本地识字表文件(部编版)
82,桥,qiao,一上,1,上,大桥、小桥、天桥,缺,本地识字表文件(部编版)
83,流,liu,一上,1,上,流水、流动、流行,缺,本地识字表文件(部编版)
84,柳,liu,一上,1,上,柳树、柳枝、柳林,缺,本地识字表文件(部编版)
85,开,kai,一上,1,上,开心、开学、开水,缺,本地识字表文件(部编版)
86,雪,xue,一上,1,上,雪人、雪花、下雪,缺,本地识字表文件(部编版)
87,夜,ye,一上,1,上,夜晚、夜市、日夜,缺,本地识字表文件(部编版)
88,色,se,一上,1,上,颜色、白色、金色,缺,本地识字表文件(部编版)
89,美,mei,一上,1,上,美丽、美好、美化,缺,本地识字表文件(部编版)
90,蓝,lan,一上,1,上,蓝天、蓝色、天蓝,缺,本地识字表文件(部编版)
91,云,yun,一上,1,上,白云、云朵、云海,缺,本地识字表文件(部编版)
92,草,cao,一上,1,上,草地、花草、水草,缺,本地识字表文件(部编版)
93,原,yuan,一上,1,上,原来、高原、原地,缺,本地识字表文件(部编版)
94,冰,bing,一上,1,上,冰块、冰山、冰花,在,本地识字表文件(部编版)
95,自,zi,一上,1,上,自己、自动、自学,缺,本地识字表文件(部编版)
96,行,xing,一上,1,上,行人、步行、不行,缺,本地识字表文件(部编版)
